model,object_id,target_band,n_train_target_band,n_train_other_bands,n_heldout_target_band,heldout_indices,rmse,nrmse,crps,ncrps,object_flux_scale,nlpd,coverage_1sigma,coverage_2sigma,coverage_3sigma,z_score_mean,z_score_std,pit,notes,shuffle_repeat
mogp_target_only,38941537,r,18,0,5,[ 0  7  8 14 21],4.364527159410221,0.9026971691732864,2.5683427661604017,0.5311997519550258,4.83498487472534,2.834309158792889,0.4,1.0,1.0,-1.033247020582249,0.3369863788175802,[0.11835632 0.08767265 0.09305011 0.20101132 0.32005451],,
mogp_real_wavelength,38941537,r,18,27,5,[ 0  7  8 14 21],5.9039428445853055,1.22108817246728,2.99809929683067,0.6200845244631675,4.83498487472534,3.037083769646885,1.0,1.0,1.0,-0.440692027254837,0.42709695384798113,[0.29021663 0.16347135 0.22486293 0.45957333 0.57415528],,
mogp_independent_band_control,38941537,r,18,27,5,[ 0  7  8 14 21],4.99029139057374,1.0321214067618407,3.125482475747416,0.6464306625002555,4.83498487472534,3.1982607436635666,1.0,1.0,1.0,-0.5837805278595052,0.28896048897549576,[0.2806346  0.33032034 0.18687632 0.18783602 0.45083515],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,38941537,r,18,27,5,[ 0  7  8 14 21],5.343936101741578,1.105264285246632,3.1269811331582695,0.6467406236376083,4.83498487472534,3.1095755412527226,1.0,1.0,1.0,-0.6910724358001051,0.2937670277058599,[0.21556097 0.29592274 0.16807766 0.1650369  0.42223835],,0.0
mogp_shuffled_wavelength_control_seed1,38941537,r,18,27,5,[ 0  7  8 14 21],5.968470772352195,1.2344342178922008,3.0109869898779626,0.6227500329148408,4.83498487472534,3.0343220507640725,1.0,1.0,1.0,-0.44452698020579173,0.43078166496537906,[0.28939455 0.16060411 0.22297393 0.4616548  0.57258179],,1.0
mogp_shuffled_wavelength_control_seed2,38941537,r,18,27,5,[ 0  7  8 14 21],5.300441633943737,1.096268503682721,3.197382742063819,0.6613014983310475,4.83498487472534,3.189232161370275,1.0,1.0,1.0,-0.6080620701861246,0.3042837904068654,[0.27561659 0.30084944 0.17822814 0.18181551 0.46341596],,2.0
mogp_shuffled_wavelength_control_seed3,38941537,r,18,27,5,[ 0  7  8 14 21],5.916569186704278,1.2236996267832956,3.002278138872998,0.6209488171446551,4.83498487472534,3.036158581056686,1.0,1.0,1.0,-0.44830557965149503,0.42518615214424177,[0.28456149 0.16245749 0.22446836 0.45761231 0.56979936],,3.0
mogp_shuffled_wavelength_control_seed4,38941537,r,18,27,5,[ 0  7  8 14 21],5.901423657636274,1.2205671394104445,2.9936789194566864,0.6191702760242342,4.83498487472534,3.0341112790873357,1.0,1.0,1.0,-0.4480574694232837,0.4242374333569452,[0.28612279 0.16183254 0.2245172  0.46077748 0.56628166],,4.0
same_total_train_budget_existing,38941537,r,4,14,5,[ 0  7  8 14 21],4.847247011612754,1.0025361272486113,3.302883961324723,0.683121880812988,4.83498487472534,3.288884155191822,0.8,1.0,1.0,-0.45817467036706666,0.5379880804398052,[0.11614285 0.28496311 0.21193652 0.47913054 0.62696826],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,60299807,r,18,0,5,[ 1  9 12 17 20],1.6327062239637762,0.2955548788912658,1.1706563837906052,0.21191393813305867,5.52420663833618,2.346232408837785,1.0,1.0,1.0,-0.009597019371620252,0.4546819066075879,[0.5059887  0.62958451 0.69746712 0.45722967 0.21085324],,
mogp_target_only,60299807,r,18,0,5,[ 1  9 12 17 20],1.632706229441036,0.2955548798827674,1.1706563405543353,0.21191393030636557,5.52420663833618,2.346232349730503,1.0,1.0,1.0,-0.009596931897577154,0.45468196765677926,[0.50598872 0.62958473 0.69746702 0.45722975 0.21085321],,
mogp_real_wavelength,60299807,r,18,25,5,[ 1  9 12 17 20],1.5590591639420635,0.2822231799083519,1.0825674033293393,0.1959679414989072,5.52420663833618,2.2636032410964337,1.0,1.0,1.0,-0.30071737764107986,0.3363092953141926,[0.40526903 0.43256779 0.45019774 0.49520874 0.16932339],,
mogp_independent_band_control,60299807,r,18,25,5,[ 1  9 12 17 20],1.6341087250515935,0.29580876169827097,1.1952870285100972,0.21637261361933816,5.52420663833618,2.377856347655407,1.0,1.0,1.0,0.0107289383235194,0.4334002890469278,[0.4952623  0.55739159 0.74654329 0.47890826 0.24522406],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,60299807,r,18,25,5,[ 1  9 12 17 20],1.5963550290764656,0.2889745321976709,1.0979076891368518,0.19874486256863255,5.52420663833618,2.2713606528157815,1.0,1.0,1.0,-0.3335721920631248,0.32153722135819407,[0.4203436  0.44374161 0.4302961  0.43085346 0.16464754],,0.0
mogp_shuffled_wavelength_control_seed1,60299807,r,18,25,5,[ 1  9 12 17 20],1.5306826550698358,0.27708642259096555,1.0736855681953976,0.19436013865672083,5.52420663833618,2.2606171452368127,1.0,1.0,1.0,-0.2958470914827056,0.32495080524290626,[0.40631738 0.44344061 0.43797167 0.49441535 0.17622631],,1.0
mogp_shuffled_wavelength_control_seed2,60299807,r,18,25,5,[ 1  9 12 17 20],1.6300321970871325,0.29507082261826423,1.1115423115441865,0.20121302194426396,5.52420663833618,2.2814168829456234,0.8,1.0,1.0,-0.31255015642306666,0.3518616622754167,[0.40372155 0.42976191 0.46200799 0.48252921 0.15796385],,2.0
mogp_shuffled_wavelength_control_seed3,60299807,r,18,25,5,[ 1  9 12 17 20],1.5382378271467978,0.278454070937885,1.076575198959364,0.19488322386209914,5.52420663833618,2.2610799182867867,1.0,1.0,1.0,-0.29662775723813983,0.3352668545934576,[0.42771426 0.48627926 0.40360059 0.47116122 0.1710172 ],,3.0
